feature,importance
item_id,2870
dept_daily_sales,1422
lag_1,899
rolling_mean_3,725
lag_14,660
sales_momentum_7,610
lag_2,584
lag_7,570
lag_28,547
wday,512
lag_56,503
sales_acceleration,481
lag_3,476
wm_yr_wk,471
sales_momentum_28,448
rolling_std_3,434
rolling_mean_7,388
dept_momentum_7_28,348
day_of_month,338
dept_momentum_pct_7_28,337
week_of_year,311
days_since_price_change,311
cv_7,308
rolling_mean_14,301
dept_rolling_mean_7,290
snap_rolling_mean_7_interaction,273
item_median_sales,264
price_vs_avg,225
item_zero_sales_ratio,219
sales_momentum_pct_7,206
price_elasticity_proxy,199
snap_sales_momentum_7_interaction,195
sales_acceleration_pct,185
cv_28,181
sales_momentum_pct_28,160
item_max_sales,154
snap_lag7_interaction,151
dept_avg_sales,144
dept_cv_7,144
rolling_mean_28,144
dept_cv_28,140
rolling_std_7,139
dept_rolling_mean_28,124
rolling_mean_56,124
days_since_last_sale,120
week_ratio,110
month,103
month_ratio,100
rolling_std_14,97
rolling_std_56,97
cat_avg_sales,75
dept_rolling_std_7,70
item_avg_sales,69
item_avg_price,64
sell_price,62
item_share_of_dept,59
rolling_std_28,58
price_change_pct_7d,48
price_lag_28,47
snap_WI,46
item_share_of_cat,44
dept_rolling_std_28,44
price_change_pct_28d,43
dept_id,40
is_weekend,28
has_event,24
price_change_7d,24
year,23
price_change_28d,19
snap_TX,19
price_lag_7,18
previous_price,18
price_change_pct,17
cat_cv_7,17
cat_rolling_std_7,13
cat_cv_28,11
cat_rolling_mean_28,10
cat_rolling_mean_7,10
price_change,8
cat_rolling_std_28,7
snap_CA,2
cat_id,0
quarter,0
state_id,0
store_id,0
