feature,importance
rolling_mean_7,0.47438607
rolling_mean_14,0.2817387
rolling_mean_3,0.07284562
lag_1,0.025943985
rolling_mean_28,0.013557997
rolling_mean_56,0.011230953
lag_7,0.010915531
days_since_last_sale,0.0073895543
wday,0.0069794618
is_weekend,0.006966637
lag_14,0.0068872026
lag_28,0.00662607
item_avg_sales,0.004727082
price_change,0.004015329
price_change_28d,0.0038186572
previous_price,0.0036124333
item_median_sales,0.0035314967
lag_56,0.0028017927
snap_CA,0.0027959885
rolling_std_56,0.0026527399
has_event,0.0026093393
lag_2,0.002438875
item_max_sales,0.0023873236
price_change_pct,0.0023849676
lag_3,0.0023059817
price_change_7d,0.0021634125
rolling_std_14,0.002127592
day_of_month,0.0019683589
week_of_year,0.0019673812
price_change_pct_28d,0.0019511138
item_zero_sales_ratio,0.0019147336
sell_price,0.0018789417
snap_WI,0.0018632778
month,0.0018473993
price_lag_7,0.0018090004
rolling_std_7,0.0017678989
rolling_std_28,0.0017589247
price_lag_28,0.0015424764
wm_yr_wk,0.0015159332
rolling_std_3,0.001431885
quarter,0.0013097875
item_id,0.001304482
price_change_pct_7d,0.0012889068
dept_id,0.0010947606
year,0.0009989899
snap_TX,0.00094497786
state_id,0.0
store_id,0.0
cat_id,0.0
